Title,Abstract,Citations
INSECT UNSTEADY AERODYNAMICS,"The RoboFly apparatus (Dickinson, Lehmann, and Sane, 1999) consists of a two-winged system driven by three stepping motors that can closely mimic the stroke kinematics of a fruit fly …",0
NEURAL ORGANIZATION OF CONTROL: HIERARCHY OR HETERARCHY?,BACKGROUND The appropriate units of movement or action in biological systems have been examined extensively but are not generally agreed upon. Kinematic units are one idea …,0
Routing of information flow by selective visual attention in LFPs of monkey area V4,"The processes that govern information routing in the highly interconnected networks of the brain are still not known. A particularly well studied case of routing is visual attention, which …",0
"Oberg, E., Jones, FD, and Horton, HL (1988). Machinery's Handbook. New York: In-dustrial Press. Shimada, E., Thompson, JA, Yan, J., Wood, R., and Fearing, RS …","The Entomopter is a multimode autonomous robot that is capable of flight, ambulatory locomotion, and swimming behaviors in a single vehicle. Autonomous navigation is based on a …",0
DISTRIBUTED PROCESSING AND OLFACTORY FUNCTION,It has long been thought that odor properties of vapor phase compounds are encoded and represented by olfactory systems of terrestrial animals using processes that are distributed in …,0
Dopaminergic reactivity to D-amphetamine is increased in adult rats following a postnatal functional inactivation of the anteromedian prefrontal cortex,Schizophrenia is a complex neuropsychiatric disorder thought to result from a defective connectivity between several integrative regions stemming from developmental failures (…,0
Four ethical priorities for neurotechnologies and AI,"… We estimate that current spending on neurotechnology by for-profit industry is already US$100 … Although we raise these issues in the context of neurotechnology, they also apply to AI. …",363
Utility of actigraphy in the diagnosis of obstructive sleep apnea,… The actimeter data were assessed using the algorithm supplied by Sleepwatch sleep analysis software for Windows (Cambridge Neurotechnology Ltd). The Actiwatch arousal threshold …,82
Optimized echo state networks with leaky integrator neurons for EEG-based microsleep detection,The performance of a microsleep detection system was calculated in terms of its ability to detect the behavioural microsleep state (1-s epochs) from spectral features derived from 16-…,18
Prediction of microsleeps from EEG: Preliminary results,"Brief episodes of momentarily falling asleep - microsleeps - can have fatal consequences, especially in the transportation sector. In this study, the EEG data of eight subjects, while …",18
Optimization of swimming locomotion by genetic algorithm,,11
Sensory fusion in free-flight search behavior of fruit flies,,10
Toward the development of agile and mission-capable legged robots,,8
Using biology to guide development of an artificial olfactory system,,8
Fly-inspired VLSI vision sensors,,5
Polymer-based MEMS actuators for biomimetics,,5
Coordination and control for locomotion,,5
Dynamics of a Stimulation-evoked ECoG Potential During Stroke Rehabilitation-A Case Study,"… Erschienen in: NEUROTECHNIX 2013 - International Congress on Neurotechnology, Electronics and Informatics (2013), Bd. , S. 241-243 …",4
Developing a novel fmri-compatible motion tracking system for haptic motor control experiments,Human neuroimaging can play a key role in addressing open questions in motor neuroscience and embodied cognition by linking human movement experiments and motor …,3
overt attention and P300-speller design,,3
Visual flight control and navigation in honeybees: applications to robotics,… Neurotechnology for Biomimetic Robots …,2
Research on biomimetic snakes,,2
Polymer-based Microactuators for Biomimetics,,2
Cyberneurosecurity,"Cyberbiosecurity is an emerging field that brings together diverse professionals, including biologists, computer scientists, anti-terrorism experts, and policy makers to research the …",1
10 The Age of Neuroelectronics,Many of these stories are gross exaggerations. But something more is also afoot: There is legitimate scientific interest in the possibility of connecting brains and computers—from …,0
Final Report W911NF-16-1-0101,… This workshop identifies state-of-the art advancements in neuro-technology and discusses … based on their understanding of neuro-technology. These approaches include mathematical …,0
Consensus on the reporting and experimental design of clinical and cognitive-behavioural neurofeedback studies (CRED-nf checklist),"… Non-specific factors, including (ii) those unique to the neurofeedback environment (eg trainer-participant interaction in a neurotechnology context) (dark blue); and (iii) those that are …",188
